validDate,nbmMaxT,nbmDeltaT,skyCover,windSpeed,sin(windDir),cos(windDir),6hrQPF,observedMaxT
MAY-20-2020,88,8,51,5,-0.68386,-0.72495,24,94
MAY-21-2020,87,8,35,5,0.49493,-0.85724,1,91
MAY-22-2020,87,6,22,8,0.98986,-0.11575,0,88
MAY-23-2020,85,5,49,9,0.98986,-0.11575,4,87
MAY-24-2020,81,1,78,8,0.95472,-0.17012,77,79
MAY-25-2020,82,2,82,9,0.75828,-0.63626,84,78
MAY-26-2020,87,7,47,7,-0.05787,-0.98480,41,87
MAY-27-2020,88,7,37,5,0.39121,-0.90561,2,86
MAY-28-2020,87,5,46,6,0.85725,-0.49492,0,87
MAY-29-2020,86,4,42,7,0.96976,-0.22975,0,88
MAY-30-2020,87,6,29,6,0.91513,-0.39467,0,89
MAY-31-2020,88,8,26,4,0.79936,-0.59518,0,89
JUNE-1-2020,88,7,67,6,1.00000,0,5,90
JUNE-2-2020,85,3,78,10,1.00000,0,5,89
JUNE-3-2020,86,4,78,8,0.89057,-0.44733,0,87
JUNE-4-2020,83,3,96,7,0.79936,-0.59518,8,84
JUNE-5-2020,85,3,93,8,0.85725,-0.49492,23,88
JUNE-6-2020,87,4,91,10,0.68387,-0.72494,0,88
JUNE-7-2020,88,4,76,9,0.44734,-0.89057,0,91
JUNE-8-2020,89,5,74,5,0.54759,-0.83269,0,88
JUNE-9-2020,89,7,57,5,0.79936,-0.59518,0,91
JUNE-10-2020,89,7,52,5,0.98986,-0.11575,1,91
JUNE-11-2020,87,4,37,8,0.98986,0.11576,0,88
JUNE-12-2020,87,6,35,8,0.95472,0.28590,0,88
JUNE-13-2020,86,5,68,8,0.98986,0.11576,1,89
JUNE-14-2020,86,4,70,7,0.95472,-0.05787,25,89
JUNE-15-2020,87,5,77,3,0.51069,0,47,88
JUNE-16-2020,87,9,18,5,0.55281,0.67482,6,88
JUNE-18-2020,87,3,75,6,0.93969,-0.34201,102,90
JUNE-19-2020,87,5,72,5,0.63627,-0.75827,7,90
JUNE-20-2020,89,7,57,4,0.90561,-0.05787,4,91
JUNE-21-2020,89,6,61,5,0.91513,-0.39467,0,91
JUNE-22-2020,90,7,46,5,0.96976,-0.11399,0,93
JUNE-23-2020,91,7,38,5,0.76604,-0.64278,0,93
JUNE-24-2020,92,9,25,4,0.79936,-0.59518,0,95
JUNE-25-2020,92,7,20,7,0.95472,-0.28588,0,94
JUNE-26-2020,91,5,30,7,0.98986,0,0,94
JUNE-27-2020,91,6,13,8,0.99493,0.05788,0,93
JUNE-28-2020,92,7,15,6,0.93969,-0.34201,0,94
JUNE-29-2020,93,9,29,4,0.93523,-0.28066,0,94
JUNE-30-2020,94,10,8,4,0.25534,-0.21426,0,98
JULY-1-2020,93,9,21,4,-0.04237,-0.89684,15,96
JULY-2-2020,93,9,30,4,0.11576,-0.98986,21,95
JULY-3-2020,94,10,26,4,-0.21250,-0.71441,25,95
JULY-4-2020,93,7,52,4,-0.46055,-0.80816,14,94
JULY-5-2020,92,7,59,4,-0.38614,-0.89684,12,94
JULY-6-2020,92,8,42,4,0.85725,-0.49492,34,91
JULY-7-2020,92,7,34,4,0.91068,-0.33332,8,95
JULY-8-2020,93,7,40,4,0.71068,-0.66959,12,95
JULY-9-2020,94,10,28,3,-0.04759,-0.36666,1,98
JULY-10-2020,94,9,48,4,-0.67482,-0.43705,36,97
JULY-11-2020,92,7,57,5,-0.44211,-0.61694,43,90
JULY-12-2020,92,8,57,6,-0.49492,-0.85725,3,91
JULY-13-2020,93,8,54,5,-0.58867,-0.79161,3,94
JULY-14-2020,93,9,35,3,-0.15637,-0.69938,15,97
JULY-15-2020,92,8,35,3,0.95027,0.10879,7,95
JULY-16-2020,90,7,28,7,0.98480,0.17365,1,94
JULY-17-2020,90,6,30,9,1.00000,0,5,92
JULY-18-2020,89,4,66,9,0.99493,0.05788,6,86
JULY-19-2020,90,4,35,8,0.98986,-0.11575,4,93
JULY-20-2020,89,3,33,10,0.98986,-0.11575,7,92
JULY-21-2020,88,4,78,9,0.90561,-0.39120,8,89
JULY-22-2020,87,3,87,8,0.93969,-0.34201,29,88
JULY-23-2020,87,3,85,9,0.81616,-0.53601,50,88
JULY-24-2020,88,5,40,10,0.95472,-0.28588,39,91
JULY-25-2020,88,4,47,10,0.93969,-0.34201,5,92
JULY-26-2020,88,5,68,7,0.93969,-0.34201,1,93
